T,O,H,L,C
1483693200,2.59063,2.59063,2.28811,2.28811
1483696800,2.23472,2.25999,1.97723,1.97723
1483700400,1.87806,1.87806,1.45959,1.45959
1483704000,1.473,1.76914,1.473,1.6919
1483707600,1.63641,1.63641,1.16475,1.16475
1483711200,1.10719,1.10719,1.01076,1.06961
1483714800,1.06298,1.15807,1.06298,1.15807
1483718400,1.12806,1.15226,1.08341,1.15226
1483722000,1.16511,1.24062,1.1646,1.24062
1483725600,1.25458,1.4333,1.25458,1.42012
1483729200,1.44206,1.71568,1.44206,1.71568
1483732800,1.75239,1.92979,1.75239,1.9142
1483736400,1.87806,2.03784,1.74552,2.03784
1483740000,2.10639,2.55394,2.10639,2.54521
1483743600,2.53573,2.66669,2.53573,2.66669
1483747200,2.72342,2.87676,2.72342,2.84825
1483750800,2.82052,2.82052,2.47481,2.47481
1483754400,2.37806,2.37806,1.81993,1.82711
1483758000,1.8527,1.89272,1.77959,1.77959
1483761600,1.71756,1.71756,1.42465,1.47512
1483765200,1.46967,1.91978,1.38211,1.91978
1483768800,1.99988,2.12983,1.93682,1.93682
1483772400,1.87806,2.03156,1.81368,2.03156
1483776000,2.08622,2.10016,1.63154,1.63154
1483779600,1.60131,1.60131,1.16029,1.16029
1483783200,1.15454,1.21299,1.0711,1.21299
1483786800,1.27958,1.60456,1.27958,1.60456
1483790400,1.62806,2.19927,1.62806,2.19927
1483794000,2.23193,2.45233,2.23193,2.45233
1483797600,2.47619,2.48354,2.29656,2.29656
1483801200,2.24559,2.24559,1.91335,1.91335
1483804800,1.91802,2.08095,1.90437,1.90437
1483808400,1.87806,1.87806,1.74338,1.74338
1483812000,1.66331,1.66331,0.98589,0.98589
1483815600,0.9339,1.002,0.854214,0.867097
1483819200,0.883187,0.891079,0.639408,0.639408
1483822800,0.622836,0.832831,0.577589,0.832831
1483826400,0.878061,1.30469,0.878061,1.30469
1483830000,1.27042,1.27042,1.08916,1.17504
1483833600,1.25657,1.95026,1.25657,1.95026
1483837200,1.99097,2.02734,1.88716,1.88716
1483840800,1.85902,1.98931,1.84501,1.93465
1483844400,1.87806,2.00219,1.70422,2.00219
1483848000,2.02058,2.47566,2.02058,2.47566
1483851600,2.5136,2.55836,2.5136,2.52613
1483855200,2.5247,2.95869,2.51468,2.95869
1483858800,2.95582,2.95582,2.22872,2.22872
1483862400,2.12806,2.12806,1.13828,1.13828
1483866000,1.14953,1.43567,1.14953,1.3845
1483869600,1.35738,1.35738,0.842223,0.842223
1483873200,0.834746,1.21766,0.828427,1.21766
1483876800,1.23924,1.79293,1.22925,1.79293
1483880400,1.87806,2.93613,1.87806,2.93613
1483884000,3.00829,3.20381,3.00829,3.20381
1483887600,3.23248,3.53982,3.23248,3.46475
1483891200,3.42504,3.44635,3.2258,3.2258
1483894800,3.20804,3.20804,2.97265,2.97265
1483898400,2.87806,2.87806,2.66242,2.75638
1483902000,2.72017,2.72017,2.43228,2.43228
1483905600,2.41202,2.42675,2.27661,2.28905
1483909200,2.29965,2.29965,1.7953,1.7953
1483912800,1.76533,1.83951,1.76533,1.83951
1483916400,1.87806,1.93917,1.83572,1.83642
1483920000,1.82439,1.8464,1.74981,1.77428
1483923600,1.74227,1.79478,1.57988,1.63152
1483927200,1.65811,1.78827,1.58154,1.78827
1483930800,1.79817,1.79817,1.64527,1.66039
1483934400,1.62806,1.88857,1.58072,1.88857
1483938000,1.95863,2.0902,1.89003,2.0902
1483941600,2.14368,2.23157,2.12152,2.23157
1483945200,2.25597,2.37026,1.8837,1.8837
1483948800,1.83238,1.8541,1.78832,1.8541
1483952400,1.87806,1.92296,1.85062,1.86824
1483956000,1.81718,1.81718,1.56162,1.56162
1483959600,1.57363,1.63098,1.54737,1.58166
1483963200,1.5413,1.54477,1.37915,1.37915
1483966800,1.40064,1.7968,1.40064,1.7968
1483970400,1.87806,2.35359,1.87806,2.32965
1483974000,2.2744,2.2744,2.04835,2.1785
1483977600,2.19942,2.19942,1.71553,1.71553
1483981200,1.6861,1.98936,1.62741,1.98936
1483984800,2.07575,2.14905,1.91609,1.91609
1483988400,1.87806,1.87806,1.6898,1.76381
1483992000,1.73086,1.74394,1.61078,1.61078
1483995600,1.58634,1.59913,1.25552,1.25552
1483999200,1.21689,1.43822,1.15946,1.43822
1484002800,1.4893,1.53551,1.45332,1.45332
1484006400,1.37806,1.52454,1.26775,1.51021
1484010000,1.49174,1.49174,1.37982,1.48726
1484013600,1.5864,1.97705,1.5864,1.97705
1484017200,2.0106,2.49846,2.0106,2.49846
1484020800,2.49709,2.49709,1.98872,1.98872
1484024400,1.87806,1.87806,1.19085,1.19085
1484028000,1.20426,1.36429,1.20426,1.36429
1484031600,1.40494,1.41782,1.21115,1.21292
1484035200,1.20568,1.21043,1.101,1.21043
1484038800,1.24769,1.26484,1.04185,1.13928
1484042400,1.12806,1.12863,1.06011,1.12863
1484046000,1.13501,1.421,1.13501,1.421
1484049600,1.46862,1.87178,1.46862,1.87178
1484053200,1.93883,2.24159,1.93883,2.21547
1484056800,2.17334,2.17334,1.89962,1.89962
1484060400,1.87806,1.87806,1.80923,1.80923
1484064000,1.80893,1.86174,1.79472,1.86174
1484067600,1.87693,2.19775,1.87693,2.19775
1484071200,2.26136,2.59028,2.26136,2.27162
1484074800,2.20484,2.20484,2.12303,2.13263
1484078400,2.12806,2.27527,1.86014,1.86014
1484082000,1.81442,1.81442,1.5705,1.5849
1484085600,1.60609,1.62463,1.35705,1.38494
1484089200,1.40216,1.4078,1.25958,1.25958
1484092800,1.27786,1.87761,1.27786,1.87761
1484096400,1.87806,2.1545,1.87806,2.1545
1484100000,2.22306,2.45284,2.22306,2.45284
1484103600,2.45634,2.45634,2.3826,2.3826
1484107200,2.34921,2.34921,2.05454,2.05454
1484110800,2.02718,2.02718,1.69167,1.69334
1484114400,1.62806,1.62806,1.41986,1.42358
1484118000,1.41872,1.41872,1.24183,1.31406
1484121600,1.37079,1.74438,1.37079,1.74438
1484125200,1.81091,2.08953,1.81091,2.05463
1484128800,2.04467,2.04467,1.8265,1.86065
1484132400,1.87806,1.97944,1.87806,1.97633
1484136000,1.96881,2.38435,1.91767,2.38435
1484139600,2.53052,2.88067,2.53052,2.88067
1484143200,2.93477,3.22814,2.93477,3.22525
1484146800,3.24799,3.27915,2.69291,2.69291
1484150400,2.62806,2.62806,2.27475,2.28418
1484154000,2.30018,2.30763,2.23418,2.27337
1484157600,2.31143,2.31507,2.19274,2.19274
1484161200,2.17915,2.37774,2.16082,2.28787
1484164800,2.31011,2.3561,1.95504,1.95504
1484168400,1.87806,1.87806,1.44818,1.44818
1484172000,1.44893,1.47573,1.36862,1.41915
1484175600,1.4712,2.08396,1.4712,2.08396
1484179200,2.13699,2.32211,2.13699,2.15196
1484182800,2.12248,2.12248,1.93413,1.93413
1484186400,1.87806,1.87806,1.34549,1.34549
1484190000,1.35396,1.35476,1.22127,1.25982
1484193600,1.2988,1.54689,1.2988,1.54689
1484197200,1.52924,1.63742,1.48195,1.61854
1484200800,1.62311,1.92741,1.62311,1.9273
1484204400,1.87806,2.01254,1.76019,2.01254
1484208000,2.04801,2.1745,2.03142,2.1745
1484211600,2.21662,2.27907,2.16926,2.27907
1484215200,2.3076,2.37545,2.3076,2.34465
1484218800,2.35463,2.60371,2.35463,2.60371
1484222400,2.62806,2.64684,2.45005,2.45197
1484226000,2.45469,2.45469,2.34132,2.35266
1484229600,2.35848,2.50314,2.35848,2.43541
1484233200,2.41675,2.50104,2.31179,2.31179
1484236800,2.31298,2.32721,1.96856,1.96856
1484240400,1.87806,1.87806,1.29694,1.29694
1484244000,1.30908,1.5186,1.30908,1.5186
1484247600,1.54296,1.66238,1.5392,1.66238
1484251200,1.72304,1.95558,1.72304,1.80662
1484254800,1.75705,1.98139,1.72257,1.90653
1484258400,1.87806,1.89561,1.79552,1.89561
1484262000,2.00852,2.34089,2.00852,2.34089
1484265600,2.38547,2.41343,2.37365,2.38623
1484269200,2.37662,2.38292,2.28743,2.36446
1484272800,2.33676,2.34147,1.9775,1.9775
1484276400,1.87806,1.87806,1.30097,1.30097
1484280000,1.25132,1.25132,1.02029,1.07817
1484283600,1.09469,1.12746,1.04833,1.06098
1484287200,1.12292,1.32574,1.01767,1.01767
1484290800,0.948115,0.948115,0.728547,0.728547
1484294400,0.628061,0.628061,0.389995,0.469525
1484298000,0.46273,0.58659,0.420654,0.58659
1484301600,0.698304,1.61224,0.698304,1.61224
1484305200,1.7292,2.13266,1.7292,2.13266
1484308800,2.15446,2.22121,1.93289,1.93289
1484312400,1.87806,2.05868,1.73651,2.05868
1484316000,2.10883,2.61417,2.10883,2.61417
1484319600,2.64529,2.76655,2.49562,2.49562
1484323200,2.45537,2.45537,2.08087,2.08087
1484326800,2.05994,2.05994,1.66945,1.66945
1484330400,1.62806,1.62806,1.34008,1.3541
1484334000,1.3766,1.3766,1.19109,1.19109
1484337600,1.17256,1.51043,1.17256,1.51043
1484341200,1.57505,1.74723,1.57505,1.68536
1484344800,1.67039,1.8789,1.66858,1.87588
1484348400,1.87806,2.06162,1.87806,2.06162
1484352000,2.15717,2.60058,2.15717,2.60058
1484355600,2.62715,2.79535,2.62715,2.79535
1484359200,2.79113,2.79113,2.62528,2.69144
1484362800,2.72179,2.7458,2.42473,2.42473
1484366400,2.37806,2.37806,2.12931,2.12931
1484370000,2.05975,2.05975,1.86865,1.86865
1484373600,1.82079,1.82079,1.57994,1.6095
1484377200,1.60414,1.99364,1.60414,1.99364
1484380800,2.06496,2.12168,1.86544,1.86544
1484384400,1.87806,1.97981,1.87806,1.91419
1484388000,1.88347,2.08584,1.88347,1.95246
1484391600,1.86486,1.86486,1.49189,1.49189
1484395200,1.44723,1.44723,1.06756,1.06756
1484398800,1.06399,1.41978,1.06399,1.40256
1484402400,1.37806,1.5536,1.32243,1.5536
1484406000,1.56434,1.66757,1.56434,1.66757
1484409600,1.65798,1.65798,1.45019,1.45019
1484413200,1.42697,1.42697,1.36759,1.39604
1484416800,1.37971,1.85508,1.37192,1.85508
1484420400,1.87806,2.20753,1.87806,2.20753
1484424000,2.21103,2.54053,2.21103,2.40032
1484427600,2.34613,2.34613,1.92474,1.92474
1484431200,1.86492,1.86492,1.63771,1.78466
1484434800,1.83266,2.29097,1.83266,2.29097
1484438400,2.37806,2.94695,2.37806,2.94695
1484442000,2.95199,2.95199,2.72002,2.72002
1484445600,2.67481,2.67481,2.31031,2.31031
1484449200,2.26206,2.33543,2.11946,2.33543
1484452800,2.30855,2.30855,1.97032,1.97032
1484456400,1.87806,1.87806,1.39473,1.40005
1484460000,1.42262,1.77393,1.42262,1.73754
1484463600,1.69827,2.07699,1.69028,2.06612
1484467200,2.06189,2.20238,2.06189,2.19908
1484470800,2.20606,2.21954,2.16576,2.16576
1484474400,2.12806,2.12806,1.92285,1.92285
1484478000,1.89803,2.14466,1.89398,2.14466
1484481600,2.24164,2.90292,2.24164,2.90292
1484485200,2.92155,2.92155,2.5057,2.5057
1484488800,2.46885,2.46885,1.91955,1.91955
1484492400,1.87806,1.87806,0.981983,0.981983
1484496000,0.899848,0.899848,0.618953,0.735439
1484499600,0.760981,1.66346,0.760981,1.66346
1484503200,1.76087,1.90442,1.76087,1.8961
1484506800,1.88108,1.88108,1.47654,1.47654
1484510400,1.37806,1.37806,0.992219,1.00258
1484514000,1.01444,1.01444,0.896538,0.922232
1484517600,0.955802,1.38917,0.955802,1.38917
1484521200,1.34337,1.50389,1.28163,1.50389
1484524800,1.56651,1.81369,1.56651,1.81369
1484528400,1.87806,2.52341,1.87806,2.52341
1484532000,2.5988,3.27282,2.5988,3.27282
1484535600,3.31562,3.32075,3.01239,3.01239
1484539200,2.99702,2.99702,2.76559,2.76559
1484542800,2.77536,2.91753,2.77536,2.86062
1484546400,2.87806,2.94195,2.65462,2.65462
1484550000,2.59921,2.59921,2.32893,2.32893
1484553600,2.30416,2.30416,2.04542,2.04542
1484557200,2.03377,2.04789,2.00444,2.04789
1484560800,2.09966,2.15576,1.91561,1.91561
1484564400,1.87806,1.87806,1.70176,1.82604
1484568000,1.87173,2.40103,1.87173,2.36502
1484571600,2.33711,2.47929,2.33711,2.43344
1484575200,2.42189,2.46775,2.40653,2.43735
1484578800,2.44947,2.75074,2.44947,2.70231
1484582400,2.62806,2.62806,2.482,2.5688
1484586000,2.57997,2.61226,2.44985,2.44985
1484589600,2.40532,2.40532,1.66275,1.66275
1484593200,1.63095,1.71895,1.63095,1.71895
1484596800,1.70978,1.83115,1.69751,1.83115
1484600400,1.87806,2.00312,1.87806,1.91714
1484604000,1.89822,1.89822,1.74243,1.77579
1484607600,1.80328,1.80648,1.55564,1.58799
1484611200,1.64418,1.76735,1.5426,1.5426
1484614800,1.54351,1.58521,1.46475,1.46475
1484618400,1.37806,1.39914,1.17199,1.39914
1484622000,1.39868,1.39868,1.25037,1.32979
1484625600,1.37162,1.89532,1.37162,1.89532
1484629200,1.92611,1.92611,1.78091,1.78091
1484632800,1.75539,1.94212,1.74206,1.91834
1484636400,1.87806,2.07535,1.80885,2.07535
1484640000,2.10819,2.66371,2.10819,2.66371
1484643600,2.70968,2.79499,2.52201,2.52201
1484647200,2.55171,2.9243,2.55171,2.9243
1484650800,2.94271,3.12904,2.94271,2.96927
1484654400,2.87806,2.89356,2.77478,2.87385
1484658000,2.91023,3.08223,2.91023,2.91859
1484661600,2.83628,2.83628,1.92664,1.92664
1484665200,1.8707,1.8707,1.71563,1.74573
1484668800,1.75895,1.87925,1.7111,1.87925
1484672400,1.87806,1.9815,1.79201,1.79201
1484676000,1.79959,1.93828,1.79959,1.81073
1484679600,1.75807,1.75807,1.5917,1.5917
1484683200,1.53414,1.53414,1.21095,1.31327
1484686800,1.3438,1.40668,1.24585,1.40017
1484690400,1.37806,1.43907,1.34584,1.37657
1484694000,1.33882,1.33882,1.05604,1.29003
1484697600,1.35024,1.35024,0.911006,0.911006
1484701200,0.976858,1.34298,0.976858,1.21451
1484704800,1.22718,1.80334,1.22718,1.80334
1484708400,1.87806,2.33518,1.87806,2.33518
1484712000,2.40056,2.64017,2.40056,2.52295
1484715600,2.47092,2.47092,1.8988,1.91335
1484719200,1.90401,2.0196,1.85948,2.0185
1484722800,2.02338,2.02338,1.41734,1.41734
1484726400,1.37806,1.37806,0.999611,0.999611
1484730000,0.982029,1.0274,0.847693,1.0274
1484733600,1.1181,1.85008,1.1181,1.85008
1484737200,1.94973,2.19555,1.94973,2.19555
1484740800,2.23411,2.26403,1.89439,1.89439
1484744400,1.87806,1.87806,1.65431,1.65431
1484748000,1.67319,2.02808,1.67319,2.02081
1484751600,2.02007,2.24962,2.02007,2.22255
1484755200,2.15617,2.23318,2.08401,2.19664
1484758800,2.20839,2.38477,2.20839,2.21384
1484762400,2.12806,2.12806,1.87762,1.87762
1484766000,1.8959,1.98029,1.73074,1.98029
1484769600,2.0832,2.50405,2.0832,2.50405
1484773200,2.52303,2.52303,2.39529,2.39529
1484776800,2.36894,2.36894,2.00921,2.00921
1484780400,1.87806,1.87806,1.4936,1.66159
1484784000,1.69044,1.69753,1.52709,1.52709
1484787600,1.50028,1.50028,1.03178,1.03178
1484791200,0.979769,0.979769,0.807764,0.964171
1484794800,1.04264,1.37015,1.04264,1.3447
1484798400,1.37806,1.64073,1.37806,1.64073
1484802000,1.68,2.06785,1.68,2.06115
1484805600,2.07127,2.80044,2.07127,2.78702
1484809200,2.76055,2.76055,2.46066,2.46066
1484812800,2.46262,2.46693,1.9868,1.9868
1484816400,1.87806,1.87806,1.00596,1.00596
1484820000,0.94323,0.94323,0.826737,0.894356
1484823600,0.921904,1.20933,0.921904,1.20933
1484827200,1.25263,1.64134,1.25263,1.64134
1484830800,1.6799,1.74965,1.59565,1.60494
1484834400,1.62806,1.70488,1.62806,1.67934
1484838000,1.73286,1.73286,1.53476,1.72225
1484841600,1.80461,2.00427,1.80461,2.00427
1484845200,2.05575,2.10577,1.69644,1.69644
1484848800,1.63775,1.94201,1.63775,1.91633
1484852400,1.87806,1.87806,1.68468,1.68468
1484856000,1.66441,1.73374,1.6541,1.67725
1484859600,1.65027,1.74081,1.64048,1.69505
1484863200,1.69046,1.88365,1.69046,1.88365
1484866800,1.89631,2.15125,1.89631,2.15125
1484870400,2.12806,2.26971,2.0945,2.26971
1484874000,2.31787,2.65399,2.31787,2.65399
1484877600,2.66215,2.75214,2.53013,2.53013
1484881200,2.50065,2.50065,2.11084,2.11084
1484884800,2.06417,2.06417,1.91432,1.91432
1484888400,1.87806,1.87806,1.74211,1.86162
1484892000,1.86047,1.86047,1.67639,1.67639
1484895600,1.63356,1.66703,1.52573,1.53883
1484899200,1.57481,1.64857,1.53517,1.53517
1484902800,1.52975,1.88784,1.52975,1.88784
1484906400,1.87806,1.88959,1.81506,1.88959
1484910000,1.97055,2.53045,1.97055,2.50849
1484913600,2.46592,2.46592,1.83241,1.83241
1484917200,1.77714,1.77714,1.54094,1.67943
1484920800,1.69594,1.85683,1.69594,1.85683
1484924400,1.87806,2.37691,1.87806,2.37691
1484928000,2.39183,2.39183,1.81774,1.81774
1484931600,1.82776,1.8388,1.6526,1.6526
1484935200,1.65986,1.81639,1.61878,1.81639
1484938800,1.87845,1.96934,1.69141,1.69141
1484942400,1.62806,1.62806,1.44776,1.53295
1484946000,1.52025,1.55424,1.34808,1.34808
1484949600,1.33016,1.33016,1.09811,1.09811
1484953200,1.07258,1.33359,1.06661,1.33359
1484956800,1.42826,1.97897,1.42826,1.88405
1484960400,1.87806,1.90063,1.82023,1.83174
1484964000,1.8079,2.09485,1.80522,2.09485
1484967600,2.11312,2.30926,2.11312,2.27287
1484971200,2.30251,2.34694,2.25862,2.25862
1484974800,2.25233,2.25702,2.09202,2.14575
1484978400,2.12806,2.12806,2.04545,2.05585
1484982000,1.99644,1.99644,1.63744,1.64575
1484985600,1.6737,1.89363,1.6737,1.89363
1484989200,1.87812,1.87812,1.60301,1.61808
1484992800,1.61741,1.93302,1.61741,1.9147
1484996400,1.87806,1.99186,1.7508,1.99186
1485000000,1.98305,2.14013,1.97331,2.14013
1485003600,2.15903,2.17253,2.11297,2.11297
1485007200,2.08451,2.15345,1.94599,2.15345
1485010800,2.18514,2.5833,2.18514,2.5833
1485014400,2.62806,2.74762,2.62778,2.74762
1485018000,2.78867,2.98083,2.78867,2.98083
1485021600,2.9994,3.01458,2.71671,2.71671
1485025200,2.68377,2.68377,2.11813,2.11813
1485028800,2.03354,2.03354,1.87994,1.89202
1485032400,1.87806,1.90491,1.85235,1.89583
1485036000,1.89089,1.89089,1.67753,1.67753
1485039600,1.62137,1.62137,1.42014,1.42014
1485043200,1.40544,2.23322,1.40544,2.23322
1485046800,2.34939,2.77756,2.34939,2.69374
1485050400,2.62806,2.76745,2.50918,2.76745
1485054000,2.78762,3.07558,2.78762,3.07558
1485057600,3.0929,3.21592,3.0929,3.16421
1485061200,3.19555,3.21481,2.7311,2.7311
1485064800,2.6454,2.6454,1.9201,1.9201
1485068400,1.87806,1.87806,1.3772,1.3772
1485072000,1.35447,1.41767,1.27994,1.39724
1485075600,1.39809,1.6261,1.39809,1.6261
1485079200,1.6699,1.84176,1.59017,1.84176
1485082800,1.88976,2.14407,1.88976,2.14407
1485086400,2.12806,2.14073,2.07946,2.11791
1485090000,2.15227,2.62865,2.12607,2.62865
1485093600,2.71555,2.79246,2.60234,2.65131
1485097200,2.67157,2.84868,2.53933,2.53933
1485100800,2.48437,2.48437,1.93434,1.93434
1485104400,1.87806,1.87806,1.20726,1.20726
1485108000,1.12679,1.12679,0.973307,0.99279
1485111600,1.01409,1.01911,0.923578,0.923578
1485115200,0.858283,0.858283,0.717261,0.789701
1485118800,0.858158,1.3193,0.858158,1.3193
1485122400,1.37806,2.1237,1.37806,2.1237
1485126000,2.16078,2.44348,2.16078,2.44348
1485129600,2.47271,2.47271,2.14572,2.14572
1485133200,2.11535,2.11535,1.95834,1.97783
1485136800,2.0132,2.0327,1.89568,1.89568
1485140400,1.87806,1.87806,1.68001,1.68001
1485144000,1.59569,1.59569,1.18542,1.18542
1485147600,1.18048,1.28811,1.18048,1.22569
1485151200,1.20981,1.32456,1.15793,1.32456
1485154800,1.37626,1.66787,1.37626,1.65652
1485158400,1.62806,1.8907,1.60258,1.8532
1485162000,1.81427,1.81427,1.68637,1.7814
1485165600,1.85958,1.97086,1.76988,1.76988
1485169200,1.74361,2.01147,1.72533,2.01147
1485172800,2.03683,2.03698,1.94824,1.94824
1485176400,1.87806,1.87806,1.52234,1.56147
1485180000,1.59113,1.82217,1.59113,1.82217
1485183600,1.87745,1.90187,1.65482,1.65482
1485187200,1.64066,1.76988,1.54671,1.76988
1485190800,1.8151,1.83323,1.55695,1.63817
1485194400,1.62806,1.68431,1.60272,1.68431
1485198000,1.67348,1.67348,1.60377,1.61985
1485201600,1.62419,1.63813,1.49648,1.51181
1485205200,1.53175,1.78859,1.53175,1.78859
1485208800,1.78803,1.87901,1.78729,1.87901
1485212400,1.87806,1.89042,1.65408,1.65408
1485216000,1.61019,1.61019,1.49442,1.51165
1485219600,1.50116,1.56781,1.32826,1.32826
1485223200,1.34042,1.57236,1.34042,1.46279
1485226800,1.47462,1.86081,1.47462,1.86081
1485230400,1.87806,2.13461,1.87806,1.99196
1485234000,2.03085,2.43322,2.03085,2.43322
1485237600,2.47596,2.50928,2.28057,2.32223
1485241200,2.35019,2.38015,2.23507,2.23507
